,state,pop,cases,deaths,vaccinationsCompleted,vaccinationsInitiated
0,AK,731545,75599,372,333175,377019
1,AL,4903185,586545,11536,1687444,2130309
2,AR,3017804,389280,6199,1103057,1428148
3,AZ,7278717,930046,18252,3299000,3871584
4,CA,39512223,4066259,64538,20961749,25726550
5,CO,5758736,580481,7112,3140777,3481702
6,CT,3565287,354756,8293,2261543,2500752
7,DC,705749,50716,1149,387653,453196
8,DE,973764,111681,1833,514946,593434
9,FL,21477737,2586829,39079,10535074,12497138
10,GA,10617423,1159390,20998,4105466,4913604
11,HI,1415872,41446,534,759171,1012550
12,IA,3155070,379797,6183,1566013,1681279
13,ID,1787065,200952,2200,669805,738620
14,IL,12671821,1428923,25930,6170812,7937472
15,IN,6732219,777063,14012,2985186,3194110
16,KS,2913314,335840,5301,1321219,1562585
17,KY,4467673,486721,7393,2044765,2340992
18,LA,4648794,552787,11026,1722508,1998008
19,MA,6892503,721885,18084,4414729,5019695
20,MD,6045680,469762,9829,3565231,3923706
21,ME,1344212,70463,900,854018,920321
22,MI,9986857,1009779,21174,4885429,5314690
23,MN,5639632,613418,7767,3039890,3331144
24,MO,6137428,699242,10320,2546069,3011105
25,MP,53605,183,2,29509,32496
26,MS,2976149,348496,7556,1027090,1184115
27,MT,1068778,116746,1708,474276,529741
28,NC,10488084,1052660,13681,4603499,5402785
29,ND,762062,111730,1570,306177,347647
30,NE,1934408,228995,2550,960065,1047890
31,NH,1359711,100986,1387,794084,882730
32,NJ,8882190,1041159,26607,5198961,5880349
33,NM,2096829,211492,4416,1203197,1379643
34,NV,3080156,358932,5918,1373864,1663156
35,NY,19453561,2153243,53281,11140544,12317987
36,OH,11689100,1131029,20492,5449657,5846418
37,OK,3956971,486232,7485,1594367,1900108
38,OR,4217737,221799,2890,2365761,2567893
39,PA,12801989,1232238,27857,6729912,8428764
40,PR,3193694,181266,2581,1916882,2202290
41,RI,1059361,154790,2740,652871,716037
42,SC,5148714,623947,9915,2097931,2422702
43,SD,884659,125216,2043,415686,467404
44,TN,6829174,886436,12664,2678142,3076216
45,TX,28995881,3103019,53450,12757537,15077760
46,UT,3205958,434783,2466,1437050,1670919
47,VA,8535519,697939,11534,4669393,5294120
48,VT,623989,25038,260,422092,472139
49,WA,7614893,477352,6169,4400083,4888297
50,WI,5822434,688857,8295,3020950,3249302
51,WV,1792147,167681,2949,700036,825640
52,WY,578759,65467,776,212334,241769
